Nama,Email,Handphone,Gender,Age,Year Birth,Address,Location,Location Type,Device Model,Operating System,Wifi Usage Time (min/day),Screen On Time (hours/day),Battery Drain (mAh/day),Number of Apps Installed,Data Usage (MB/day),Login Hour,Digital Interest,generation,Brand,Activity,Email Provider,Phone Provider,Higher Education
Arta Prayoga,artaprayoga271@yahoo.com,83329947210,Female,53,1971,"Jl. Ciwastra No. 95, Jakarta Pusat, 83743",Kopitok Coffee Kemang,Cafe,Xiaomi Mi 11,Android,426,6.5,1969,78,1266,17,e-commerce,Gen X,Xiaomi,Sore,yahoo.com,AXIS,Tidak
Among Kurniawan,amongkurniawan272@outlook.com,88103808601,Male,51,1973,"Gg. Tebet Barat Dalam No. 20, Bogor, 70724",Tous les Jours Sency,Cafe,OnePlus 9,Android,284,4.2,1360,56,888,12,news,Gen X,OnePlus,Siang,outlook.com,Smartfren,Tidak
"Cagak Rajata, M.Kom.",cagakrajatam.kom.273@gmail.com,81293790049,Female,31,1993,"Jalan R.E Martadinata No. 894, Bekasi, 70119",Koridor 01 Halte Kebon Sirih arah Kota,Transportation,Google Pixel 5,Android,105,2.2,1002,29,453,14,streaming video,Millennials,Google,Siang,gmail.com,Telkomsel,Ya
Puti Pratiwi,putipratiwi274@aol.com,81347013353,Male,38,1986,"Gang Ronggowarsito No. 612, Jakarta Timur, 29410",Suasana Kopi Gandaria,Cafe,Google Pixel 5,Android,179,2.3,1014,32,588,3,streaming video,Millennials,Google,Dini Hari,aol.com,Telkomsel,Tidak
Ella Hastuti,ellahastuti275@outlook.com,89877580373,Male,35,1989,"Gg. Jayawijaya No. 31, Bekasi, 54013",Sambal Setan,Restaurant,iPhone 12,iOS,122,2.6,639,37,568,12,streaming video,Millennials,iPhone,Siang,outlook.com,Tri,Tidak
"R.M. Umaya Mandala, S.Gz",r.m.umayamandalas.gz276@gmail.com,82301775599,Male,49,1975,"Gang Sadang Serang No. 94, Jakarta Utara, 28716",Sliced Terogong,Restaurant,OnePlus 9,Android,501,11.9,2702,88,1738,6,other,Gen X,OnePlus,Pagi,gmail.com,Telkomsel,Ya
Balidin Maryati,balidinmaryati277@gmail.com,89881237406,Female,32,1992,"Jl. Ahmad Yani No. 650, Jakarta Selatan, 85363",Kopi Bojo Plaza Kuningan,Cafe,Xiaomi Mi 11,Android,269,5.9,1666,42,629,23,news,Millennials,Xiaomi,Malam,gmail.com,Tri,Tidak
Nadia Halimah,nadiahalimah278@yahoo.com,82254242487,Male,54,1970,"Jalan K.H. Wahid Hasyim No. 022, Depok, 93612",Gedung Cyber,Office,Google Pixel 5,Android,230,4.4,1607,52,878,17,news,Gen X,Google,Sore,yahoo.com,Telkomsel,Tidak
Yuliana Hardiansyah,yulianahardiansyah279@yahoo.com,88755991131,Male,47,1977,"Jl. HOS. Cokroaminoto No. 5, Jakarta Pusat, 38725",Galeri Lafayette,Compound Space,Xiaomi Mi 11,Android,85,1.6,417,12,122,6,sosmed,Gen X,Xiaomi,Pagi,yahoo.com,Smartfren,Tidak
Julia Winarno,juliawinarno280@outlook.com,85843109145,Female,33,1991,"Jalan Kutai No. 8, Tangerang, 58334",Tuwuh Treats Bintaro,Cafe,Samsung Galaxy S21,Android,411,7.8,2029,75,1136,10,e-commerce,Millennials,Samsung,Pagi,outlook.com,Indosat IM3,Tidak
Tirta Budiyanto,tirtabudiyanto281@outlook.com,81851476144,Male,51,1973,"Jl. Pacuan Kuda No. 4, Jakarta Timur, 46726",Ali Kopi Roastery Free Wifi,Cafe,Samsung Galaxy S21,Android,73,1.7,403,12,163,15,sosmed,Gen X,Samsung,Sore,outlook.com,XL,Tidak
"Umi Farida, S.E.",umifaridas.e.282@gmail.com,85103920124,Female,26,1998,"Gang K.H. Wahid Hasyim No. 7, Jakarta Timur, 06234",Ali Kopi Roastery Free Wifi,Cafe,Xiaomi Mi 11,Android,39,1.7,530,11,268,12,sosmed,Gen Z,Xiaomi,Siang,gmail.com,Telkomsel,Ya
Makara Novitasari,makaranovitasari283@yahoo.com,82314407571,Male,51,1973,"Jalan Suryakencana No. 144, Jakarta Barat, 79927",Sliced Terogong,Restaurant,iPhone 12,iOS,386,7.7,2114,72,1209,5,e-commerce,Gen X,iPhone,Pagi,yahoo.com,Telkomsel,Tidak
"drg. Kanda Mahendra, S.Kom",drg.kandamahendras.kom284@outlook.com,82395902597,Female,54,1970,"Jalan Gardujati No. 3, Depok, 28639",Ramen Ten 10 Kramat Jati,Restaurant,Google Pixel 5,Android,49,1.3,542,16,169,0,sosmed,Gen X,Google,Dini Hari,outlook.com,Telkomsel,Ya
Raisa Usada,raisausada285@gmail.com,88439915444,Male,43,1981,"Gang Medokan Ayu No. 5, Jakarta Selatan, 46924",Warung Tekko Artha Gading,Restaurant,Google Pixel 5,Android,411,6.9,1820,70,1024,11,e-commerce,Millennials,Google,Siang,gmail.com,Smartfren,Tidak
"Irfan Oktaviani, S.Kom",irfanoktavianis.kom286@aol.com,82140459157,Male,37,1987,"Gg. Sentot Alibasa No. 146, Jakarta Utara, 70630",Warung Fotkop,Cafe,OnePlus 9,Android,534,10.8,2805,90,1538,21,other,Millennials,OnePlus,Malam,aol.com,Telkomsel,Ya
"Uli Wastuti, S.E.",uliwastutis.e.287@outlook.com,85969665607,Female,47,1977,"Jl. Ronggowarsito No. 5, Jakarta Utara, 23305",Harton Tower,Office,Samsung Galaxy S21,Android,314,7.4,2136,64,1376,7,e-commerce,Gen X,Samsung,Pagi,outlook.com,XL,Ya
Aurora Zulaika,aurorazulaika288@gmail.com,81459819219,Female,29,1995,"Gg. Raya Setiabudhi No. 1, Bogor, 02455",Kopi Takua,Cafe,Xiaomi Mi 11,Android,211,4.0,1519,54,811,0,news,Millennials,Xiaomi,Dini Hari,gmail.com,Indosat IM3,Tidak
Drs. Cakrajiya Yulianti,drs.cakrajiyayulianti289@gmail.com,88152111853,Male,47,1977,"Gang Ciumbuleuit No. 18, Jakarta Barat, 95672",Jack & Joe Coffee and Eatery Lebak Bulus,Cafe,OnePlus 9,Android,121,3.7,619,36,473,4,streaming video,Gen X,OnePlus,Dini Hari,gmail.com,Smartfren,Ya
Tania Tampubolon,taniatampubolon290@gmail.com,85631370710,Male,50,1974,"Jl. Cihampelas No. 84, Bekasi, 87475",Koridor 01 Halte Sarinah,Transportation,Google Pixel 5,Android,84,1.2,415,10,146,24,sosmed,Gen X,Google,Dini Hari,gmail.com,Indosat IM3,Tidak
"Ir. Hani Hidayat, M.Pd",ir.hanihidayatm.pd291@mail.com,81355766780,Male,28,1996,"Gang Kapten Muslihat No. 263, Jakarta Timur, 76423",Warung Fotkop,Cafe,OnePlus 9,Android,448,7.6,2199,66,1047,20,e-commerce,Millennials,OnePlus,Malam,mail.com,Telkomsel,Ya
Harsaya Mandasari,harsayamandasari292@gmail.com,81981142417,Male,30,1994,"Gang Jamika No. 151, Bekasi, 13971",JEC Kedoya,Compound Space,Google Pixel 5,Android,55,1.6,360,19,149,3,sosmed,Millennials,Google,Dini Hari,gmail.com,XL,Tidak
Limar Anggriawan,limaranggriawan293@yahoo.com,89553909466,Female,36,1988,"Jl. Cikapayang No. 361, Jakarta Selatan, 61597",Warung Fotkop,Cafe,Google Pixel 5,Android,59,1.8,497,10,208,22,sosmed,Millennials,Google,Malam,yahoo.com,Tri,Tidak
Mitra Kuswandari,mitrakuswandari294@outlook.com,88544161480,Female,27,1997,"Jl. Kiaracondong No. 50, Bogor, 04347",Ramen Ya! Gandaria City,Restaurant,Xiaomi Mi 11,Android,226,4.5,1781,45,649,22,news,Gen Z,Xiaomi,Malam,outlook.com,Smartfren,Tidak
Hj. Winda Mardhiyah,hj.windamardhiyah295@aol.com,82125409203,Male,52,1972,"Jalan Yos Sudarso No. 6, Bekasi, 77352",Conclave Arteri,Office,Samsung Galaxy S21,Android,580,8.5,2660,87,1795,8,other,Gen X,Samsung,Pagi,aol.com,Telkomsel,Ya
Tgk. Kayun Winarsih,tgk.kayunwinarsih296@gmail.com,81337140053,Male,41,1983,"Gang Rumah Sakit No. 896, Jakarta Barat, 21490",Liberte Italian Cuisine,Restaurant,OnePlus 9,Android,65,1.8,481,18,130,2,sosmed,Millennials,OnePlus,Dini Hari,gmail.com,Telkomsel,Ya
Hartana Hutapea,hartanahutapea297@outlook.com,81922516779,Female,31,1993,"Jalan Sentot Alibasa No. 39, Jakarta Barat, 35216",Gedung Cyber,Office,OnePlus 9,Android,458,6.6,2214,67,1163,19,e-commerce,Millennials,OnePlus,Malam,outlook.com,XL,Tidak
"Widya Mardhiyah, M.Kom.",widyamardhiyahm.kom.298@outlook.com,88758916449,Female,53,1971,"Gg. Antapani Lama No. 336, Jakarta Selatan, 95324",Kintaro Sushi PIK,Restaurant,iPhone 12,iOS,170,2.7,805,26,344,23,streaming video,Gen X,iPhone,Malam,outlook.com,Smartfren,Ya
Qori Putra,qoriputra299@aol.com,88243616171,Male,44,1980,"Jalan Siliwangi No. 93, Jakarta Selatan, 57686",Conclave Arteri,Office,iPhone 12,iOS,264,5.2,1641,44,778,12,news,Gen X,iPhone,Siang,aol.com,Smartfren,Tidak
"Johan Farida, S.IP",johanfaridas.ip300@gmail.com,89877372389,Female,59,1965,"Jalan Sukabumi No. 35, Jakarta Selatan, 16915",Ramen Ya! Gandaria City,Restaurant,Xiaomi Mi 11,Android,122,3.3,748,35,499,13,streaming video,Gen X,Xiaomi,Siang,gmail.com,Tri,Ya
Clara Suartini,clarasuartini301@outlook.com,88344683943,Male,35,1989,"Gg. Pasirkoja No. 37, Bekasi, 56892",Sambal Setan,Restaurant,Xiaomi Mi 11,Android,420,6.5,2113,65,1314,20,e-commerce,Millennials,Xiaomi,Malam,outlook.com,Smartfren,Tidak
"Cici Prastuti, M.Pd",ciciprastutim.pd302@aol.com,81774067960,Female,38,1986,"Jl. Pelajar Pejuang No. 949, Jakarta Barat, 39032",Kedai Inn Taman GBK,Cafe,iPhone 12,iOS,267,4.4,1505,59,971,10,news,Millennials,iPhone,Pagi,aol.com,XL,Ya
"R. Maria Widodo, S.E.I",r.mariawidodos.e.i303@yahoo.com,81584825446,Female,34,1990,"Jalan H.J Maemunah No. 8, Jakarta Pusat, 46077",Bleu Coffee and Space,Cafe,iPhone 12,iOS,469,6.0,2290,67,1086,20,e-commerce,Millennials,iPhone,Malam,yahoo.com,Indosat IM3,Ya
"Ifa Mandala, M.Farm",ifamandalam.farm304@yahoo.com,81984687651,Female,34,1990,"Gg. Erlangga No. 432, Bekasi, 15970",Gedung Cyber,Office,iPhone 12,iOS,541,11.4,2443,89,1923,5,other,Millennials,iPhone,Pagi,yahoo.com,XL,Ya
Tgk. Wirda Widiastuti,tgk.wirdawidiastuti305@yahoo.com,89725198425,Female,19,2005,"Jl. Ahmad Dahlan No. 22, Tangerang, 13145",Liberica Cilandak Town Square,Cafe,iPhone 12,iOS,155,2.9,1117,22,322,16,streaming video,Gen Z,iPhone,Sore,yahoo.com,Tri,Ya
"T. Sabri Utama, M.Farm",t.sabriutamam.farm306@gmail.com,83192546769,Male,27,1997,"Gang Moch. Ramdan No. 442, Jakarta Selatan, 12634",Warung Fotkop,Cafe,OnePlus 9,Android,106,2.8,686,32,594,17,streaming video,Gen Z,OnePlus,Sore,gmail.com,AXIS,Ya
"Cecep Astuti, S.I.Kom",cecepastutis.i.kom307@aol.com,85992776326,Male,43,1981,"Gang Rumah Sakit No. 555, Bogor, 32640",Kataloji Coffee & Eatery,Cafe,OnePlus 9,Android,243,5.0,1232,47,877,0,news,Millennials,OnePlus,Dini Hari,aol.com,XL,Ya
Yuliana Saefullah,yulianasaefullah308@gmail.com,85159981576,Female,45,1979,"Jl. Gegerkalong Hilir No. 70, Jakarta Timur, 28538",Kantor PC 24,Office,OnePlus 9,Android,410,7.5,2176,68,1213,19,e-commerce,Gen X,OnePlus,Malam,gmail.com,Telkomsel,Tidak
"R.A. Halima Sitorus, S.IP",r.a.halimasitoruss.ip309@yahoo.com,81251452153,Female,20,2004,"Gg. Cikutra Timur No. 2, Tangerang Selatan, 48937",Mall Taman Palem,Compound Space,iPhone 12,iOS,285,5.1,1226,57,666,5,news,Gen Z,iPhone,Pagi,yahoo.com,Telkomsel,Ya
Sabri Suryono,sabrisuryono310@gmail.com,85275126626,Male,40,1984,"Gang Ahmad Dahlan No. 56, Tangerang Selatan, 68567",Sambal Setan,Restaurant,OnePlus 9,Android,397,6.8,2027,66,1167,9,e-commerce,Millennials,OnePlus,Pagi,gmail.com,Telkomsel,Tidak
Diana Sirait,dianasirait311@gmail.com,89693074234,Female,25,1999,"Gg. Jamika No. 7, Tangerang Selatan, 41250",The Post Coffee and Eatery,Cafe,Samsung Galaxy S21,Android,230,4.2,1507,51,868,0,news,Gen Z,Samsung,Dini Hari,gmail.com,Tri,Tidak
Gasti Permata,gastipermata312@outlook.com,88971639084,Female,32,1992,"Gang Cihampelas No. 3, Jakarta Selatan, 82314",Kataloji Coffee & Eatery,Cafe,iPhone 12,iOS,341,7.2,2397,68,1055,22,e-commerce,Millennials,iPhone,Malam,outlook.com,Smartfren,Tidak
"Drs. Kartika Permata, S.Pd",drs.kartikapermatas.pd313@outlook.com,81946894549,Male,20,2004,"Jl. M.H Thamrin No. 6, Bogor, 97299",Mall Taman Palem,Compound Space,Google Pixel 5,Android,132,2.9,1054,32,563,21,streaming video,Gen Z,Google,Malam,outlook.com,XL,Ya
Kenzie Sitorus,kenziesitorus314@yahoo.com,81369489964,Female,49,1975,"Gg. Rajawali Barat No. 3, Jakarta Pusat, 34887",Gedung Cyber,Office,Xiaomi Mi 11,Android,130,3.0,820,21,308,13,streaming video,Gen X,Xiaomi,Siang,yahoo.com,Telkomsel,Tidak
Wirda Handayani,wirdahandayani315@gmail.com,85194512073,Male,29,1995,"Jalan Cempaka No. 7, Bogor, 99593",Gedung Cyber,Office,iPhone 12,iOS,281,4.9,1566,59,632,6,news,Millennials,iPhone,Pagi,gmail.com,Telkomsel,Tidak
"Lanjar Utami, S.Pt",lanjarutamis.pt316@outlook.com,89864225568,Female,55,1969,"Gang M.H Thamrin No. 368, Tangerang, 56862",Kopi Bojo Plaza Kuningan,Cafe,OnePlus 9,Android,74,2.0,320,11,103,15,sosmed,Gen X,OnePlus,Sore,outlook.com,Tri,Ya
Elon Januar,elonjanuar317@gmail.com,85768481972,Female,42,1982,"Jl. Peta No. 14, Jakarta Timur, 21261",Gedung Cyber,Office,OnePlus 9,Android,299,4.3,1737,43,953,3,news,Millennials,OnePlus,Dini Hari,gmail.com,Indosat IM3,Tidak
Fathonah Lestari,fathonahlestari318@outlook.com,88692423587,Female,28,1996,"Jl. Gardujati No. 7, Jakarta Utara, 55922",Bukan Ruang,Cafe,Google Pixel 5,Android,116,2.2,827,29,434,13,streaming video,Millennials,Google,Siang,outlook.com,Smartfren,Tidak
"Puti Shakila Wastuti, S.T.",putishakilawastutis.t.319@gmail.com,89917875300,Female,47,1977,"Gang Pasirkoja No. 8, Jakarta Selatan, 41405",Warung Tekko Daan Mogot,Restaurant,OnePlus 9,Android,408,6.6,2026,63,1076,1,e-commerce,Gen X,OnePlus,Dini Hari,gmail.com,Tri,Ya
Dina Wibowo,dinawibowo320@protonmail.com,81948335011,Male,51,1973,"Jalan Sadang Serang No. 3, Jakarta Barat, 51650",Stasiun Istora Mandiri,Transportation,Google Pixel 5,Android,508,11.3,2590,81,2481,18,other,Gen X,Google,Sore,protonmail.com,XL,Tidak
Virman Gunawan,virmangunawan321@outlook.com,81755623213,Female,22,2002,"Gang Dr. Djunjunan No. 3, Jakarta Selatan, 59453",Stay Kopi Kopia,Cafe,iPhone 12,iOS,227,4.4,1275,56,984,19,news,Gen Z,iPhone,Malam,outlook.com,XL,Tidak
Respati Oktaviani,respatioktaviani322@gmail.com,83884548264,Female,57,1967,"Gang Cihampelas No. 68, Depok, 49814",Jack & Joe Coffee and Eatery Lebak Bulus,Cafe,Google Pixel 5,Android,274,6.0,1489,56,666,8,news,Gen X,Google,Pagi,gmail.com,AXIS,Tidak
Ika Mangunsong,ikamangunsong323@gmail.com,88621722565,Female,21,2003,"Jalan Surapati No. 4, Bekasi, 32466",Graha Aruna,Office,Google Pixel 5,Android,347,6.3,2001,61,1456,22,e-commerce,Gen Z,Google,Malam,gmail.com,Smartfren,Tidak
Kariman Marbun,karimanmarbun324@gmail.com,88353354349,Female,31,1993,"Jalan Cempaka No. 87, Jakarta Pusat, 24345",Monarki Coffee Rawamangun,Cafe,Xiaomi Mi 11,Android,76,1.3,490,14,156,20,sosmed,Millennials,Xiaomi,Malam,gmail.com,Smartfren,Tidak
Siti Zulaika,sitizulaika325@outlook.com,82370029426,Male,23,2001,"Jl. Waringin No. 540, Jakarta Timur, 50200",Bleu Coffee and Space,Cafe,iPhone 12,iOS,445,7.5,2007,78,1115,18,e-commerce,Gen Z,iPhone,Sore,outlook.com,Telkomsel,Tidak
Laswi Ramadan,laswiramadan326@mail.com,83289273797,Female,25,1999,"Gang Soekarno Hatta No. 37, Tangerang, 70852",MTM Representative Office,Office,OnePlus 9,Android,203,4.3,1554,54,638,17,news,Gen Z,OnePlus,Sore,mail.com,AXIS,Tidak
"Yusuf Dongoran, S.T.",yusufdongorans.t.327@yahoo.com,81748565169,Male,55,1969,"Gg. Pasirkoja No. 59, Jakarta Barat, 21215",Ramen Ya! Kota Kasablanka Lt.UG,Restaurant,Samsung Galaxy S21,Android,199,6.0,1707,57,881,23,news,Gen X,Samsung,Malam,yahoo.com,XL,Ya
Shania Lailasari,shanialailasari328@gmail.com,89629234741,Female,24,2000,"Gang Pelajar Pejuang No. 22, Jakarta Timur, 19835",JEC Kedoya,Compound Space,OnePlus 9,Android,48,2.0,574,18,127,13,sosmed,Gen Z,OnePlus,Siang,gmail.com,Tri,Tidak
Lutfan Halim,lutfanhalim329@gmail.com,83899779038,Female,31,1993,"Jalan Suryakencana No. 39, Tangerang Selatan, 36620",HTS Net,Office,OnePlus 9,Android,88,1.6,420,12,274,2,sosmed,Millennials,OnePlus,Dini Hari,gmail.com,AXIS,Tidak
Mariadi Firgantoro,mariadifirgantoro330@yahoo.com,82336260784,Female,42,1982,"Jalan Wonoayu No. 943, Depok, 23694",Warung Tekko Pluit Village,Restaurant,iPhone 12,iOS,541,8.3,2865,89,1820,8,other,Millennials,iPhone,Pagi,yahoo.com,Telkomsel,Tidak
R.M. Najib Zulaika,r.m.najibzulaika331@protonmail.com,87728516037,Female,21,2003,"Gg. Erlangga No. 433, Tangerang Selatan, 11574",Kopikalyan Wijaya,Cafe,Google Pixel 5,Android,233,4.6,1534,49,796,2,news,Gen Z,Google,Dini Hari,protonmail.com,XL,Ya
"R.M. Nugraha Budiyanto, S.Sos",r.m.nugrahabudiyantos.sos332@gmail.com,89575487555,Female,47,1977,"Gg. Ahmad Dahlan No. 60, Jakarta Barat, 41905",Stasiun Senayan,Transportation,iPhone 12,iOS,176,3.8,727,36,362,14,streaming video,Gen X,iPhone,Siang,gmail.com,Tri,Ya
Sari Kusumo,sarikusumo333@gmail.com,83238444036,Male,54,1970,"Jl. Gegerkalong Hilir No. 419, Jakarta Selatan, 81908",Conclave Arteri,Office,OnePlus 9,Android,191,6.0,1762,45,904,20,news,Gen X,OnePlus,Malam,gmail.com,AXIS,Tidak
Asmianto Narpati,asmiantonarpati334@gmail.com,89734530015,Female,34,1990,"Jalan Raya Ujungberung No. 510, Jakarta Selatan, 62719",Warung Tekko Artha Gading,Restaurant,Google Pixel 5,Android,461,7.5,2001,69,1324,11,e-commerce,Millennials,Google,Siang,gmail.com,Tri,Tidak
Baktianto Setiawan,baktiantosetiawan335@gmail.com,81624745548,Female,46,1978,"Jalan R.E Martadinata No. 63, Depok, 53632",JEC Kedoya,Compound Space,Samsung Galaxy S21,Android,37,1.5,375,18,246,16,sosmed,Gen X,Samsung,Sore,gmail.com,Indosat IM3,Tidak
Dalima Mulyani,dalimamulyani336@gmail.com,83837886166,Female,45,1979,"Jl. Kutisari Selatan No. 481, Bogor, 40842",Ruuaang Kopi,Cafe,OnePlus 9,Android,531,9.8,2905,99,1632,16,other,Gen X,OnePlus,Sore,gmail.com,AXIS,Tidak
Galak Riyanti,galakriyanti337@gmail.com,81298962654,Male,44,1980,"Gg. Cikutra Barat No. 26, Jakarta Utara, 89597",SMK AL Khairiyah 2,Education Center,Samsung Galaxy S21,Android,473,7.9,2292,62,1472,13,e-commerce,Gen X,Samsung,Siang,gmail.com,Telkomsel,Tidak
Drs. Laila Lazuardi,drs.lailalazuardi338@gmail.com,82357637709,Male,34,1990,"Gang Medokan Ayu No. 651, Bogor, 45383",Los Medellin,Cafe,Samsung Galaxy S21,Android,30,1.3,561,15,252,22,sosmed,Millennials,Samsung,Malam,gmail.com,Telkomsel,Ya
Baktiono Haryanto,baktionoharyanto339@gmail.com,82166025453,Male,46,1978,"Jl. Kapten Muslihat No. 045, Tangerang Selatan, 07813",Kopi Bojo Plaza Kuningan,Cafe,iPhone 12,iOS,306,6.1,2267,70,1449,7,e-commerce,Gen X,iPhone,Pagi,gmail.com,Telkomsel,Tidak
Sakti Firmansyah,saktifirmansyah340@yahoo.com,81978941925,Male,30,1994,"Gang Moch. Toha No. 984, Jakarta Pusat, 69384",Stay Kopi Kopia,Cafe,iPhone 12,iOS,64,1.2,590,13,155,3,sosmed,Millennials,iPhone,Dini Hari,yahoo.com,XL,Tidak
Titin Wibisono,titinwibisono341@gmail.com,81439257901,Male,43,1981,"Gang Jend. Sudirman No. 948, Tangerang Selatan, 27722",Liberica Cilandak Town Square,Cafe,iPhone 12,iOS,75,1.0,435,13,223,0,sosmed,Millennials,iPhone,Dini Hari,gmail.com,Indosat IM3,Tidak
Naradi Habibi,naradihabibi342@gmail.com,89977070363,Female,26,1998,"Gg. Moch. Toha No. 65, Tangerang, 21510",Harton Tower,Office,iPhone 12,iOS,597,10.3,2718,90,1863,8,other,Gen Z,iPhone,Pagi,gmail.com,Tri,Tidak
Kamila Wacana,kamilawacana343@aol.com,88872231241,Male,56,1968,"Jl. W.R. Supratman No. 404, Jakarta Pusat, 43625",Dua Coffee @ Cipete,Cafe,iPhone 12,iOS,529,10.5,2971,87,1683,8,other,Gen X,iPhone,Pagi,aol.com,Smartfren,Tidak
"Ellis Rahayu, S.E.I",ellisrahayus.e.i344@gmail.com,81629109437,Female,57,1967,"Gg. Rajawali Barat No. 881, Jakarta Utara, 15886",Tempat Kita Coffee,Cafe,iPhone 12,iOS,290,6.0,1533,54,645,9,news,Gen X,iPhone,Pagi,gmail.com,Indosat IM3,Ya
"Ir. Among Ramadan, S.Psi",ir.amongramadans.psi345@yahoo.com,88820651111,Male,43,1981,"Jalan Merdeka No. 5, Jakarta Selatan, 98397",Menara FIF - Kantin 2,Compound Space,iPhone 12,iOS,256,5.8,1309,52,840,0,news,Millennials,iPhone,Dini Hari,yahoo.com,Smartfren,Ya
Gaduh Laksita,gaduhlaksita346@gmail.com,81872298698,Female,37,1987,"Gang Erlangga No. 39, Jakarta Selatan, 03717",Jack & Joe Coffee and Eatery Lebak Bulus,Cafe,iPhone 12,iOS,308,7.7,1974,73,1431,17,e-commerce,Millennials,iPhone,Sore,gmail.com,XL,Tidak
"Ikin Ramadan, M.Pd",ikinramadanm.pd347@gmail.com,85185194700,Female,57,1967,"Gg. Lembong No. 7, Jakarta Pusat, 56158",Galeri Lafayette,Compound Space,OnePlus 9,Android,156,3.3,1020,38,447,5,streaming video,Gen X,OnePlus,Pagi,gmail.com,Telkomsel,Ya
Tgk. Sarah Prayoga,tgk.sarahprayoga348@gmail.com,82311174805,Male,46,1978,"Gg. Astana Anyar No. 6, Jakarta Utara, 65562",Ali Kopi Roastery Free Wifi,Cafe,Samsung Galaxy S21,Android,62,1.4,542,18,266,15,sosmed,Gen X,Samsung,Sore,gmail.com,Telkomsel,Ya
Najam Latupono,najamlatupono349@aol.com,85936747660,Male,26,1998,"Gang Pasteur No. 275, Bekasi, 25013",8TH Brew Coffee Shop,Cafe,Google Pixel 5,Android,156,3.8,866,34,510,16,streaming video,Gen Z,Google,Sore,aol.com,XL,Tidak
Empluk Iswahyudi,emplukiswahyudi350@gmail.com,88427487727,Male,34,1990,"Jalan Rajawali Timur No. 81, Jakarta Utara, 49718",MTM Representative Office,Office,Samsung Galaxy S21,Android,303,7.4,2314,66,1387,21,e-commerce,Millennials,Samsung,Malam,gmail.com,Smartfren,Tidak
Virman Saefullah,virmansaefullah351@mail.com,81131288031,Male,54,1970,"Gang Surapati No. 1, Jakarta Utara, 51542",Warung Tekko Kalibata,Restaurant,Samsung Galaxy S21,Android,463,6.9,2111,73,1463,24,e-commerce,Gen X,Samsung,Dini Hari,mail.com,Telkomsel,Tidak
"Michelle Yolanda, S.Pd",michelleyolandas.pd352@gmail.com,81317570211,Female,35,1989,"Gang Monginsidi No. 39, Jakarta Barat, 80245",Warung Tekko Artha Gading,Restaurant,Google Pixel 5,Android,60,1.5,593,14,281,14,sosmed,Millennials,Google,Siang,gmail.com,Telkomsel,Ya
"Galak Prasasta, S.Pt",galakprasastas.pt353@aol.com,81559386729,Female,20,2004,"Gg. Yos Sudarso No. 299, Depok, 74385",Warung Fotkop,Cafe,Google Pixel 5,Android,225,4.6,1230,52,954,5,news,Gen Z,Google,Pagi,aol.com,Indosat IM3,Ya
Ani Suwarno,anisuwarno354@aol.com,87771115094,Female,53,1971,"Gg. Pasir Koja No. 558, Tangerang, 14529",Galeri Lafayette,Compound Space,Samsung Galaxy S21,Android,379,7.5,1823,68,1075,3,e-commerce,Gen X,Samsung,Dini Hari,aol.com,XL,Tidak
Gadang Pratiwi,gadangpratiwi355@aol.com,88440638424,Female,54,1970,"Jalan KH Amin Jasuta No. 80, Jakarta Barat, 41428",60 Common House,Cafe,OnePlus 9,Android,53,1.4,455,14,106,16,sosmed,Gen X,OnePlus,Sore,aol.com,Smartfren,Tidak
Lamar Hastuti,lamarhastuti356@gmail.com,83201970698,Male,45,1979,"Gang Waringin No. 54, Jakarta Pusat, 74886",Kopitok Coffee Kemang,Cafe,Samsung Galaxy S21,Android,30,1.9,574,19,287,1,sosmed,Gen X,Samsung,Dini Hari,gmail.com,AXIS,Tidak
Zelda Anggraini,zeldaanggraini357@gmail.com,81258362472,Female,55,1969,"Gang Soekarno Hatta No. 019, Bogor, 02441",Harton Tower,Office,iPhone 12,iOS,291,4.1,1326,51,905,4,news,Gen X,iPhone,Dini Hari,gmail.com,Telkomsel,Tidak
Bajragin Wahyuni,bajraginwahyuni358@outlook.com,85551670150,Female,48,1976,"Jl. Yos Sudarso No. 55, Jakarta Selatan, 64465",Ramen Ya! Kota Kasablanka Lt.UG,Restaurant,iPhone 12,iOS,488,9.5,2840,92,1986,3,other,Gen X,iPhone,Dini Hari,outlook.com,Indosat IM3,Tidak
Violet Halimah,violethalimah359@outlook.com,81701152465,Female,44,1980,"Gang KH Amin Jasuta No. 688, Tangerang Selatan, 34441",Tempat Kita Coffee,Cafe,Google Pixel 5,Android,74,2.0,366,13,253,11,sosmed,Gen X,Google,Siang,outlook.com,XL,Tidak
Bahuraksa Mustofa,bahuraksamustofa360@yahoo.com,88259888139,Female,54,1970,"Jalan Astana Anyar No. 857, Bogor, 44353",Ruuaang Kopi,Cafe,Samsung Galaxy S21,Android,230,4.6,1325,55,845,18,news,Gen X,Samsung,Sore,yahoo.com,Smartfren,Tidak
Samiah Suryono,samiahsuryono361@outlook.com,81800336631,Male,26,1998,"Gang Gegerkalong Hilir No. 96, Bogor, 33252",Tuwuh Treats Bintaro,Cafe,Samsung Galaxy S21,Android,517,11.8,2435,86,2208,10,other,Gen Z,Samsung,Pagi,outlook.com,XL,Tidak
